事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,觸發日即買,1m,685,0.0037710330447218,0.5065693430656935,0.007485609130660416,0.0050028893117441695,0.003756865779721884
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,觸發日即買,3m,685,0.029961358077141,0.5124087591240876,0.05653498622210836,0.03841390059503142,0.029089788507285906
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,觸發日即買,6m,685,0.0301529283747356,0.4715328467153284,0.05687590648074695,0.03865002267895361,0.029270341853328174
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,觸發日即買,12m,685,0.0839390339047702,0.5065693430656935,0.14374622868328257,0.10065368149484585,0.07743888842381581
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,跌勢衰竭,1m,685,0.0142460663455725,0.5124087591240876,0.027702820260367664,0.018640679975879385,0.014045966573873404
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,跌勢衰竭,3m,685,0.0261582051195695,0.5007299270072992,0.04971547505113039,0.03370215627049868,0.025491395955384393
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,跌勢衰竭,6m,685,0.0260207154560912,0.4832116788321168,0.04946709262871842,0.0335309546998343,0.025360809059809634
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,跌勢衰竭,12m,685,0.0880002825079449,0.4759124087591241,0.14966027249613756,0.10501223489397879,0.08088259159739905
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,買方回來,1m,682,-0.00287160661153,0.4809384164222874,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,買方回來,3m,682,-0.0052513421797944,0.43841642228739,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,買方回來,6m,682,0.0071001681273889,0.4457478005865102,0.014001510103237164,0.009378109299526972,0.007050111152886625
events_gatefix.csv,"A(淨現金 N2, gatefix)",建表年份 2010-2021,買方回來,12m,682,0.0580462177987554,0.4765395894428152,0.1040168644592234,0.07183526946872222,0.05486170341359892
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,觸發日即買,1m,1062,0.0049022262948198,0.4896421845574388,0.009709258623782177,0.006493855924734393,0.004878311706895928
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,觸發日即買,3m,996,0.0051873875735272,0.4909638554216867,0.010268244420041473,0.0068690071615134605,0.005160617450691754
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,觸發日即買,6m,882,-0.0104739049597425,0.4058956916099773,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,觸發日即買,12m,741,-0.0188256496657842,0.4048582995951417,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,跌勢衰竭,1m,1032,0.0048241814710968,0.5087209302325582,0.009556161626486991,0.006391132649850758,0.004801020477068967
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,跌勢衰竭,3m,970,0.0046444603832196,0.4865979381443299,0.009203430826710482,0.0061545013937570996,0.0046229890935226775
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,跌勢衰竭,6m,852,-0.0154806113797938,0.3908450704225352,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,跌勢衰竭,12m,734,-0.0001471827934886,0.4128065395095368,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,買方回來,1m,1019,-0.0007646684229518,0.4916584887144259,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,買方回來,3m,935,0.0058715670402702,0.4877005347593582,0.011606833478748944,0.0077679427250600406,0.0058372929831857255
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,買方回來,6m,830,-0.0191434836090887,0.4072289156626506,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",驗證年份 2022-2026,買方回來,12m,714,-0.0149090399128229,0.3879551820728291,,,
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,觸發日即買,1m,2918,0.0037930043087009,0.4934886908841672,0.00752889435990803,0.005031891098776436,0.003778671790319053
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,觸發日即買,3m,2817,0.0167200260028953,0.4980475683351082,0.032357998841720165,0.021807211805932616,0.016445064103466068
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,觸發日即買,6m,2635,0.0117529525298564,0.4519924098671726,0.022966066872219394,0.015428824385680016,0.01161642523549698
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,觸發日即買,12m,2432,0.0276173471409903,0.4580592105263157,0.05234351616875548,0.03551534343019611,0.026875127417639016
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,跌勢衰竭,1m,2870,0.0093596478719266,0.5097560975609756,0.018375322644875063,0.012325711404545421,0.00927285719382573
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,跌勢衰竭,3m,2768,0.014457016326716,0.4909682080924855,0.02810150482530262,0.018911483599409223,0.014250989538289096
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,跌勢衰竭,6m,2597,0.0102123926544124,0.4485945321524836,0.020015963550555443,0.013433604546690002,0.010109154004316395
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,跌勢衰竭,12m,2414,0.0408400790254568,0.4473902236951118,0.07551230134247225,0.05164138756824712,0.03923761185646842
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,買方回來,1m,2850,-0.000588509387519,0.4792982456140351,,,
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",全期 2010-2026,買方回來,3m,2726,0.0022184844600504,0.4655172413793103,0.004417369190294851,0.0029492554435734844,0.002213573681237398
