code,ym,close,volume,turnover_rate,units
US.XLE,2019-05,21.241506,666286800,1.63419000,407716850.55
US.XLE,2019-06,23.237344,583696536,1.43161000,407720354.01
US.XLE,2019-07,22.868960,451265086,1.10682000,407713165.65
US.XLE,2019-08,20.965037,742783378,1.82178000,407723972.16
US.XLE,2019-09,21.790024,701670848,1.72094000,407725340.80
US.XLE,2019-10,21.333611,654573938,1.60544000,407722454.90
US.XLE,2019-11,21.675921,529253372,1.29810000,407713867.96
US.XLE,2019-12,22.982366,567347320,1.39153000,407714760.01
US.XLE,2020-01,20.455990,698702356,1.71367000,407722814.78
US.XLE,2020-02,17.328643,970284406,2.37965000,407742485.66
US.XLE,2020-03,11.372511,1971126050,4.81458000,409407684.57
US.XLE,2020-04,14.871143,1853639858,3.75512000,493629992.65
US.XLE,2020-05,15.168566,1161985454,2.21191000,525331253.98
US.XLE,2020-06,15.002404,1350477718,2.49627000,540998256.60
US.XLE,2020-07,14.281020,1053655432,1.89445000,556180121.94
US.XLE,2020-08,14.130401,835662532,1.47594000,566190042.96
US.XLE,2020-09,12.066269,1198631356,2.16727000,553060465.93
US.XLE,2020-10,11.570726,1207239432,2.12784000,567354421.39
US.XLE,2020-11,14.809884,1701831798,2.75808000,617034965.63
US.XLE,2020-12,15.473437,1350184354,2.00094000,674775032.73
US.XLE,2021-01,16.053181,1305868662,1.72854000,755474945.33
US.XLE,2021-02,19.658206,1257901162,1.55681000,807999153.40
US.XLE,2021-03,20.242224,1771784092,2.01475000,879406423.63
US.XLE,2021-04,20.378382,1110319726,1.20603000,920640221.22
US.XLE,2021-05,21.541918,1247982148,1.29224000,965751058.63
US.XLE,2021-06,22.454116,1282574470,1.35356000,947556421.58
US.XLE,2021-07,20.586761,1200963340,1.29060000,930546521.00
US.XLE,2021-08,20.174109,1115183564,1.20559000,925010628.82
US.XLE,2021-09,21.975914,1363065590,1.47358000,925002775.55
US.XLE,2021-10,24.245647,1388863360,1.50149000,924990083.18
US.XLE,2021-11,23.030623,1198237942,1.29539000,925001692.15
US.XLE,2021-12,23.717719,1204455890,1.30211000,925003179.45
US.XLE,2022-01,28.170668,1707810804,1.84629000,924995967.05
US.XLE,2022-02,30.162102,1529135490,1.60182000,954623796.68
US.XLE,2022-03,32.978801,2170731472,2.16247000,1003820386.87
US.XLE,2022-04,32.422252,1290893436,1.33802000,964778879.24
US.XLE,2022-05,37.621029,1566954284,1.62230000,965884413.49
US.XLE,2022-06,31.197840,1551625328,1.59914000,970287359.46
US.XLE,2022-07,34.212483,1114946466,1.19593000,932284051.74
US.XLE,2022-08,35.119929,1064398250,1.14066000,933142435.08
US.XLE,2022-09,31.763015,1202580118,1.30363000,922485765.13
US.XLE,2022-10,39.692743,1110585026,1.17760000,943091903.87
US.XLE,2022-11,40.199928,1040085806,1.08861000,955425548.18
US.XLE,2022-12,38.974082,870204652,0.93239000,933305432.28
US.XLE,2023-01,40.070186,708642416,0.75908000,933554323.65
US.XLE,2023-02,37.289824,682877640,0.73292000,931721934.18
US.XLE,2023-03,37.291981,1162056762,1.24568000,932869406.27
US.XLE,2023-04,38.327494,641563264,0.69580000,922051256.11
US.XLE,2023-05,34.482588,880968668,0.98941000,890397982.64
US.XLE,2023-06,36.866423,846700498,0.99248000,853115929.79
US.XLE,2023-07,39.732348,751410306,0.90557000,829765016.51
US.XLE,2023-08,40.386379,834336906,0.98561000,846518304.40
US.XLE,2023-09,41.356810,814162712,0.95583000,851786104.22
US.XLE,2023-10,38.977615,1044151376,1.19753000,871920850.42
US.XLE,2023-11,38.698518,817855878,0.91769000,891211496.26
US.XLE,2023-12,38.728453,750462334,0.85425000,878504341.82
US.XLE,2024-01,38.529822,762132488,0.88969000,856627013.90
US.XLE,2024-02,39.790898,653911698,0.77384000,845021836.56
US.XLE,2024-03,43.963488,615859426,0.74262000,829306275.08
US.XLE,2024-04,43.549045,743523356,0.87270000,851980469.81
US.XLE,2024-05,43.400032,616247932,0.72937000,844904413.40
US.XLE,2024-06,42.786201,526342686,0.62690000,839595925.99
US.XLE,2024-07,43.753174,565190540,0.67377000,838847885.78
US.XLE,2024-08,42.847223,580311048,0.69660000,833062084.41
US.XLE,2024-09,41.554282,652427254,0.80787000,807589406.71
US.XLE,2024-10,41.928175,664435512,0.82116000,809142569.05
US.XLE,2024-11,45.212762,489861330,0.61561000,795733223.96
US.XLE,2024-12,40.881563,547549458,0.69700000,785580284.07
US.XLE,2025-01,41.826526,648706908,0.85380000,759787898.81
US.XLE,2025-02,43.430099,561680292,0.76718000,732136254.86
US.XLE,2025-03,44.947373,718272456,0.99821000,719560469.24
US.XLE,2025-04,38.718710,1021321178,1.49920000,681244115.53
US.XLE,2025-05,39.214118,552231204,0.85212000,648067413.04
US.XLE,2025-06,41.123681,980042314,1.51221000,648086121.64
US.XLE,2025-07,42.287422,711048144,1.12191000,633783586.92
US.XLE,2025-08,43.829378,609570392,0.98758000,617236468.94
US.XLE,2025-09,43.689783,698603970,1.15821000,603175564.02
US.XLE,2025-10,43.098059,613217172,1.03002000,595344917.57
US.XLE,2025-11,44.232605,610041016,1.00688000,605872612.43
US.XLE,2025-12,44.101686,595730889,0.99380000,599447463.27
US.XLE,2026-01,50.355426,1053992567,1.72460000,611151900.15
US.XLE,2026-02,55.159166,1015693517,1.52227000,667222974.24
US.XLE,2026-03,60.821507,1542284256,2.21930000,694941763.62
US.XLE,2026-04,59.223032,1007576000,1.44595000,696826307.96
US.XLE,2026-05,55.887082,778438908,1.11158000,700299490.81
US.XLE,2026-06,53.110000,736958610,1.08689000,678043417.46
US.XLE,2026-07,59.550000,668714445,1.00824000,663249271.01
US.XLE,2026-08,63.445000,534186696,0.81491000,655516187.06
US.XLF,2000-01,18.308772,8546600,0.00962000,888419958.42
US.XLF,2000-02,16.332848,8425500,0.00949000,887829293.99
US.XLF,2000-03,19.276735,11147200,0.01250000,891776000.00
US.XLF,2000-04,19.460728,8647800,0.00971000,890607621.01
US.XLF,2000-05,19.900711,4882300,0.00554000,881281588.45
US.XLF,2000-06,18.860751,9346600,0.01052000,888460076.05
US.XLF,2000-07,20.532687,4265000,0.00484000,881198347.11
US.XLF,2000-08,22.636607,3666700,0.00418000,877200956.94
US.XLF,2000-09,23.060590,10808900,0.01213000,891088211.05
US.XLF,2000-10,22.860598,18210900,0.02039000,893128984.80
US.XLF,2000-11,21.684643,17317600,0.01936000,894504132.23
US.XLF,2000-12,23.460575,20903200,0.02336000,894828767.12
US.XLF,2001-01,23.404577,16155600,0.01808000,893561946.90
US.XLF,2001-02,21.820638,11225000,0.01258000,892289348.17
US.XLF,2001-03,21.092666,15730400,0.01760000,893772727.27
US.XLF,2001-04,21.860636,29114500,0.03250000,895830769.23
US.XLF,2001-05,22.828599,6989900,0.00789000,885918884.66
US.XLF,2001-06,22.580609,13095100,0.01469000,891429543.91
US.XLF,2001-07,22.364617,14044500,0.01575000,891714285.71
US.XLF,2001-08,20.876674,12706900,0.01427000,890462508.76
US.XLF,2001-09,19.604723,14533400,0.01624000,894913793.10
US.XLF,2001-10,19.324733,24104400,0.02694000,894743875.28
US.XLF,2001-11,20.588685,8401900,0.00943000,890975609.76
US.XLF,2001-12,20.900673,13552400,0.01518000,892779973.65
US.XLF,2002-01,20.660682,50081200,0.05584000,896869627.51
US.XLF,2002-02,20.300696,78959100,0.08796000,897670532.06
US.XLF,2002-03,21.580647,51939200,0.05789000,897205044.05
US.XLF,2002-04,21.028668,31625400,0.03533000,895142938.01
US.XLF,2002-05,20.964671,26624800,0.02974000,895252185.61
US.XLF,2002-06,19.972709,41356400,0.04612000,896712922.81
US.XLF,2002-07,18.300772,72839400,0.08119000,897147431.95
US.XLF,2002-08,18.644759,47998600,0.05351000,897002429.45
US.XLF,2002-09,16.396845,32976600,0.03680000,896103260.87
US.XLF,2002-10,17.908787,72388500,0.08067000,897341018.97
US.XLF,2002-11,18.580762,39913100,0.04455000,895916947.25
US.XLF,2002-12,17.460805,19108900,0.02137000,894192793.64
US.XLF,2003-01,17.236813,28697200,0.03200000,896787500.00
US.XLF,2003-02,16.700834,23913400,0.02670000,895632958.80
US.XLF,2003-03,16.468843,28608000,0.03194000,895679398.87
US.XLF,2003-04,18.556763,32687200,0.03648000,896030701.75
US.XLF,2003-05,19.508726,66199600,0.07378000,897256709.14
US.XLF,2003-06,19.500727,51354100,0.05725000,897014847.16
US.XLF,2003-07,20.356694,33582900,0.03749000,895782875.43
